BINARY_WEIGHT,KL_LOSS_RATE,bool_layer_2,bool_layer_4,num_embedded,num_units,num_units1,val_loss,val_mean_binary_value,val_mean_abs_diff_cont,val_mean_abs_diff_class,val_mean_kl_loss,val_mean_kl_div,val_loss_sample,val_mean_binary_value_sample,val_mean_abs_diff_cont_sample,val_mean_abs_diff_class_sample,val_mean_kl_div_sample
1.0,1.0,True,True,4.0,64.0,128.0,0.022507602348923683,0.0,0.04558654502034187,0.0015432098880410194,0.0006856453255750239,2.5598599910736084,0.010776721872389317,0.0,0.046141669154167175,0.0015432098880410194,1.1167793273925781
1.0,0.1,False,False,64.0,128.0,512.0,0.02026529051363468,0.0016133558237925172,0.07083243131637573,0.003031618194654584,0.04330755025148392,1.343277096748352,0.02528597041964531,0.15625,0.10972543805837631,0.15731096267700195,2.326080322265625
10.0,1.0,False,True,4.0,256.0,64.0,0.10356517136096954,0.0,0.047468364238739014,0.0015432098880410194,0.0038528498262166977,1.4375081062316895,0.010964172892272472,0.0,0.0473514050245285,0.0015432098880410194,0.9307016134262085
10.0,0.0001,False,True,4.0,256.0,256.0,0.011702710762619972,0.0015432098880410194,0.04637642577290535,0.002959280274808407,2.1975183486938477,1.2353909015655518,0.07059825956821442,0.53125,0.22193580865859985,0.5311535596847534,9.76385498046875
0.1,0.0001,True,False,16.0,128.0,512.0,0.007203416898846626,0.0015432098880410194,0.04044494032859802,0.002959280274808407,3.171919107437134,0.6745207905769348,0.05016040802001953,0.0625,0.17393440008163452,0.06385030597448349,6.64335298538208
1.0,1.0,False,False,2.0,256.0,64.0,0.02302137203514576,0.0,0.04541882127523422,0.0015432098880410194,0.0003444510803092271,2.8730530738830566,0.010874082334339619,0.0,0.04517637565732002,0.0015432098880410194,0.9397151470184326
1.0,1.0,False,True,16.0,64.0,256.0,0.023426305502653122,0.0,0.05472256988286972,0.0015432098880410194,0.0013008551904931664,1.595306158065796,0.011557405814528465,0.0,0.053984761238098145,0.0015432098880410194,0.8467814326286316
0.1,0.0001,True,False,64.0,256.0,128.0,0.008728314191102982,0.0015432098880410194,0.047412216663360596,0.002959280274808407,4.22166633605957,1.2448484897613525,0.3239220678806305,0.09375,0.4482334852218628,0.09500385820865631,55.99127197265625
1.0,1.0,False,True,32.0,256.0,64.0,0.015665482729673386,0.0012275533517822623,0.05430617183446884,0.002665544394403696,0.00133739341981709,1.4813473224639893,0.012650921009480953,0.0,0.055993352085351944,0.0015432098880410194,1.1325205564498901
10.0,1.0,False,True,2.0,256.0,128.0,0.11503837257623672,0.0,0.04112648218870163,0.0015432098880410194,0.00832472275942564,1.2176963090896606,0.009681479074060917,0.0,0.04101353511214256,0.0015432098880410194,0.8243022561073303
