BINARY_WEIGHT,KL_LOSS_RATE,bool_layer_2,bool_layer_4,num_embedded,num_units,num_units1,val_loss,val_mean_binary_value,val_mean_abs_diff_cont,val_mean_abs_diff_class,val_mean_kl_loss,val_mean_kl_div,val_loss_sample,val_mean_binary_value_sample,val_mean_abs_diff_cont_sample,val_mean_abs_diff_class_sample,val_mean_kl_div_sample
10.0,0.0001,False,True,32.0,128.0,128.0,0.011874228715896606,0.0015432098880410194,0.050243694335222244,0.002959280274808407,1.429120659828186,2.430027484893799,0.0874796137213707,0.09375,0.23668906092643738,0.09500385820865631,19.474885940551758
10.0,1.0,True,True,64.0,512.0,512.0,0.016998538747429848,0.0015432098880410194,0.07580795139074326,0.002959280274808407,0.0010771129745990038,1.7961642742156982,0.01447290275245905,0.0,0.0707884281873703,0.0015432098880410194,1.9937801361083984
0.1,1.0,False,True,16.0,512.0,128.0,0.012034192681312561,0.0,0.04626651480793953,0.0015432098880410194,0.00010234251385554671,0.773658037185669,0.010662967339158058,0.0,0.04602423682808876,0.0015432098880410194,0.9164355993270874
10.0,0.0001,False,True,16.0,512.0,128.0,0.012310749851167202,0.0015432098880410194,0.05289307236671448,0.002959280274808407,1.8754092454910278,0.7781066298484802,0.09582855552434921,0.15625,0.25818461179733276,0.15731096267700195,16.706802368164062
0.1,1.0,True,True,2.0,128.0,128.0,0.011411331593990326,0.0,0.040635980665683746,0.0015432098880410194,3.680618465295993e-05,1.0156927108764648,0.010125569999217987,0.0,0.04057065024971962,0.0015432098880410194,0.8623137474060059
0.1,0.1,True,False,32.0,128.0,128.0,0.015057639218866825,0.001367845106869936,0.06751932203769684,0.002797067863866687,0.0055355350486934185,1.8431047201156616,0.014072956517338753,0.0,0.07012880593538284,0.0015432098880410194,0.7896988391876221
1.0,1.0,False,False,32.0,256.0,64.0,0.021663576364517212,0.0012275533517822623,0.08061369508504868,0.0026699283625930548,0.002115570241585374,4.268576145172119,0.01780642382800579,0.0,0.08421801775693893,0.0015432098880410194,1.3818399906158447
10.0,0.1,True,True,16.0,256.0,256.0,0.021659497171640396,0.0015432098880410194,0.0739365965127945,0.002959280274808407,0.05369383096694946,1.7795453071594238,0.01740884780883789,0.03125,0.08306051045656204,0.03269675746560097,1.8860880136489868
0.1,1.0,True,False,32.0,256.0,256.0,0.013375404290854931,0.0,0.05785808339715004,0.0015432098880410194,6.884800677653402e-05,1.3469200134277344,0.012208516709506512,0.0,0.0565783865749836,0.0015432098880410194,1.0400605201721191
0.1,10.0,True,True,4.0,128.0,64.0,0.012895138002932072,0.0,0.04360158368945122,0.0015432098880410194,0.00011614654067670926,1.1698358058929443,0.01032435055822134,0.0,0.043260738253593445,0.0015432098880410194,0.8676731586456299
1.0,0.0001,True,True,4.0,256.0,128.0,0.010915101505815983,0.0015432098880410194,0.044317327439785004,0.002959280274808407,2.848094940185547,0.9312657117843628,0.0882207378745079,0.5,0.24686218798160553,0.5,12.072590827941895
